Name,Case,Threads,Mean Time,StdDev Time
mutex,0,1,16.93,0.1265350193073487
mutex,0,2,21.46,0.10388416237290068
mutex,0,4,22.25,0.09252354327740622
mutex,0,8,22.97,0.09791255632894429
mutex,1,1,16.51,0.10683225783035437
mutex,1,2,21.68,0.13171748156374288
mutex,1,4,22.28,0.1255935403344351
mutex,1,8,23.27,0.12379112417391817
mutex,2,1,16.93,0.14231491613156838
mutex,2,2,21.53,0.1344310870733298
mutex,2,4,22.69,0.12447465362048371
mutex,2,8,23.15,0.09031370691409835
rwlock,0,1,16.81,0.11950656125007608
rwlock,0,2,9.54,0.06730002176294544
rwlock,0,4,6.13,0.07740096311357561
rwlock,0,8,6.28,0.06369117408688316
rwlock,1,1,16.83,0.1385749988382836
rwlock,1,2,9.57,0.0794615719334913
rwlock,1,4,5.9,0.05945883900105631
rwlock,1,8,6.14,0.06033576087532202
rwlock,2,1,16.6,0.08164965809277261
rwlock,2,2,9.69,0.09395356686828196
rwlock,2,4,6.04,0.07643575238345104
rwlock,2,8,6.33,0.05869799439039247
serial,0,1,15.84,0.07617099317995138
serial,1,1,16.01,0.10870681541270408
serial,2,1,15.74,0.07992420652017002
