Case,Threads,Time
0,1,0.015000
0,1,0.014000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.018000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.017000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.015000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.017000
0,1,0.016000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.016000
0,1,0.015000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.015000
0,1,0.015000
0,1,0.016000
0,1,0.017000
0,1,0.017000
0,1,0.015000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.017000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.017000
0,1,0.016000
0,1,0.017000
0,1,0.015000
0,1,0.016000
0,1,0.015000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.017000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.017000
0,1,0.016000
0,1,0.016000
0,1,0.017000
0,1,0.017000
0,1,0.016000
0,1,0.017000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.015000
0,1,0.016000
0,1,0.016000
0,1,0.016000
0,1,0.018000
0,1,0.017000
0,1,0.015000
0,1,0.015000
0,1,0.017000
0,1,0.016000
0,1,0.015000
0,1,0.015000
0,1,0.016000
0,1,0.015000
0,1,0.015000
0,1,0.015000
0,1,0.016000
0,1,0.015000
0,1,0.017000
0,1,0.016000
0,1,0.015000
0,1,0.016000
0,1,0.015000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.015000
1,1,0.015000
1,1,0.016000
1,1,0.014000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.015000
1,1,0.015000
1,1,0.016000
1,1,0.021000
1,1,0.018000
1,1,0.017000
1,1,0.015000
1,1,0.017000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.015000
1,1,0.016000
1,1,0.016000
1,1,0.017000
1,1,0.016000
1,1,0.015000
1,1,0.016000
1,1,0.015000
1,1,0.016000
1,1,0.017000
1,1,0.016000
1,1,0.017000
1,1,0.015000
1,1,0.015000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.015000
1,1,0.015000
1,1,0.016000
1,1,0.015000
1,1,0.016000
1,1,0.019000
1,1,0.016000
1,1,0.018000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.016000
1,1,0.017000
1,1,0.017000
1,1,0.016000
1,1,0.021000
1,1,0.016000
1,1,0.015000
1,1,0.017000
1,1,0.015000
1,1,0.017000
1,1,0.015000
1,1,0.016000
1,1,0.018000
1,1,0.016000
1,1,0.017000
1,1,0.015000
1,1,0.016000
1,1,0.016000
1,1,0.017000
1,1,0.015000
1,1,0.016000
1,1,0.015000
1,1,0.016000
1,1,0.017000
1,1,0.015000
1,1,0.016000
1,1,0.016000
1,1,0.017000
1,1,0.016000
1,1,0.016000
1,1,0.016000
1,1,0.015000
1,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.019000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.017000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.020000
2,1,0.016000
2,1,0.017000
2,1,0.017000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.017000
2,1,0.015000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.015000
2,1,0.015000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.015000
2,1,0.017000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.017000
2,1,0.016000
2,1,0.015000
2,1,0.016000
2,1,0.015000
2,1,0.015000
2,1,0.016000
2,1,0.016000
2,1,0.016000
